id,pair,side,lot,entry,tp,sl,margin,open_time,status,exit,pnl,exit_reason,close_time
d154e214,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:33:30.187830,closed,157.972352,252.3520000000019,tp,2026-03-20T11:34:30.484477
51ba7988,EURUSD,sell,0.86,1.1588,1.15694592,1.15972704,199.3136,2026-03-20T11:33:30.188831,closed,1.15694592,159.4508799999983,tp,2026-03-20T11:34:30.485478
6268ffc2,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:34:30.486477,closed,157.972352,252.3520000000019,tp,2026-03-20T11:35:30.560896
bfb9c69d,EURUSD,sell,0.9,1.1588,1.15694592,1.15972704,208.584,2026-03-20T11:34:30.487478,closed,1.15694592,166.8671999999982,tp,2026-03-20T11:35:30.561896
f182cbc6,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:35:30.562898,closed,157.972352,252.3520000000019,tp,2026-03-20T11:36:30.638128
e4bcaaa9,EURUSD,sell,0.93,1.1588,1.15694592,1.15972704,215.53680000000003,2026-03-20T11:35:30.564867,closed,1.15694592,172.42943999999815,tp,2026-03-20T11:36:30.640030
500e95ea,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:36:30.641105,closed,157.972352,252.3520000000019,tp,2026-03-20T11:37:30.699517
f4ea32a5,EURUSD,sell,0.97,1.1588,1.15694592,1.15972704,224.80720000000002,2026-03-20T11:36:30.642274,closed,1.15694592,179.84575999999808,tp,2026-03-20T11:37:30.700519
aff43db8,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:37:30.701520,closed,157.972352,252.3520000000019,tp,2026-03-20T11:38:30.793875
48334f88,EURUSD,sell,1.01,1.1588,1.15694592,1.15972704,234.07760000000002,2026-03-20T11:37:30.702519,closed,1.15694592,187.262079999998,tp,2026-03-20T11:38:30.793875
883c8fee,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:38:30.794876,closed,157.972352,252.3520000000019,tp,2026-03-20T11:39:30.862147
6a28ae95,EURUSD,sell,1.05,1.1588,1.15694592,1.15972704,243.348,2026-03-20T11:38:30.795876,closed,1.15694592,194.6783999999979,tp,2026-03-20T11:39:30.863557
549d61fa,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:39:30.864564,closed,157.972352,252.3520000000019,tp,2026-03-20T11:40:30.938062
e2e5824a,EURUSD,sell,1.09,1.1588,1.15694592,1.15972704,252.61840000000007,2026-03-20T11:39:30.866940,closed,1.15694592,202.09471999999786,tp,2026-03-20T11:40:30.939049
f379a4f2,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:40:30.940728,closed,157.972352,252.3520000000019,tp,2026-03-20T11:41:31.010342
fe2c1a61,EURUSD,sell,1.12,1.1588,1.15694592,1.15972704,259.57120000000003,2026-03-20T11:40:30.941738,closed,1.15694592,207.6569599999978,tp,2026-03-20T11:41:31.011395
e4bb5add,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:41:31.011395,closed,157.972352,252.3520000000019,tp,2026-03-20T11:42:31.074465
5cf6923f,EURUSD,sell,1.16,1.1588,1.15694592,1.15972704,268.84159999999997,2026-03-20T11:41:31.013398,closed,1.15694592,215.07327999999768,tp,2026-03-20T11:42:31.075468
f7aa9032,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:42:31.076651,closed,157.972352,252.3520000000019,tp,2026-03-20T11:43:31.154340
14f42027,EURUSD,sell,1.2,1.1588,1.15694592,1.15972704,278.112,2026-03-20T11:42:31.077657,closed,1.15694592,222.4895999999976,tp,2026-03-20T11:43:31.156341
5dfe0597,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:43:31.157338,closed,157.972352,252.3520000000019,tp,2026-03-20T11:44:31.231084
6f114513,EURUSD,sell,1.25,1.1588,1.15694592,1.15972704,289.7,2026-03-20T11:43:31.161342,closed,1.15694592,231.75999999999752,tp,2026-03-20T11:44:31.232084
4751f725,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:44:31.232084,closed,157.972352,252.3520000000019,tp,2026-03-20T11:45:31.305284
e933793f,EURUSD,sell,1.29,1.1588,1.15694592,1.15972704,298.97040000000004,2026-03-20T11:44:31.234087,closed,1.15694592,239.17631999999745,tp,2026-03-20T11:45:31.306279
6efa7708,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:45:31.307264,closed,157.972352,252.3520000000019,tp,2026-03-20T11:46:31.375175
5e5714c6,EURUSD,sell,1.33,1.1588,1.15694592,1.15972704,308.2408,2026-03-20T11:45:31.308263,closed,1.15694592,246.59263999999737,tp,2026-03-20T11:46:31.376175
ce621b22,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:46:31.377176,closed,157.972352,252.3520000000019,tp,2026-03-20T11:47:31.454443
a678aa62,EURUSD,sell,1.37,1.1588,1.15694592,1.15972704,317.51120000000003,2026-03-20T11:46:31.378175,closed,1.15694592,254.00895999999727,tp,2026-03-20T11:47:31.455456
422672e4,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:47:31.456442,closed,157.972352,252.3520000000019,tp,2026-03-20T11:48:31.525483
bec489e7,EURUSD,sell,1.42,1.1588,1.15694592,1.15972704,329.0992,2026-03-20T11:47:31.458447,closed,1.15694592,263.2793599999972,tp,2026-03-20T11:48:31.526475
1d39f4fe,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:48:31.526475,closed,157.972352,252.3520000000019,tp,2026-03-20T11:49:31.587500
520ed893,EURUSD,sell,1.46,1.1588,1.15694592,1.15972704,338.36960000000005,2026-03-20T11:48:31.528476,closed,1.15694592,270.6956799999971,tp,2026-03-20T11:49:31.589485
0d591e49,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:49:31.590486,closed,157.972352,252.3520000000019,tp,2026-03-20T11:50:31.663618
ffdf20d2,EURUSD,sell,1.51,1.1588,1.15694592,1.15972704,349.9576,2026-03-20T11:49:31.591486,closed,1.15694592,279.966079999997,tp,2026-03-20T11:50:31.664573
7397b030,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:50:31.665573,closed,157.972352,252.3520000000019,tp,2026-03-20T11:51:31.753945
1a0386cb,EURUSD,sell,1.55,1.1588,1.15694592,1.15972704,359.228,2026-03-20T11:50:31.666572,closed,1.15694592,287.38239999999695,tp,2026-03-20T11:51:31.754947
b875e50b,USDJPY,buy,0.01,157.72,157.972352,157.59382399999998,315.44,2026-03-20T11:51:31.755945,closed,157.972352,252.3520000000019,tp,2026-03-20T11:52:31.823540
bcc6d5a4,EURUSD,sell,1.6,1.1588,1.15694592,1.15972704,370.816,2026-03-20T11:51:31.756949,closed,1.15694592,296.65279999999683,tp,2026-03-20T11:52:31.824894
